Timestamp,Solar Voltage (V),Solar Current (A),Battery Voltage (V),Battery Current (A),Load Voltage (V),Load Current (A),Battery Temp (C),Battery SOC,Solar Power (W),Battery Power (W),Load Power (W),Accumulated Precip,Dew Point,Feels Like,Humidity,Precip,Pressure,Sky Cover,Solar Radiation,Temperature,Wind,Wind Direction,Wind Gusts
2025-06-10 18:44:05.969919+00:00,19.34,0.89,12.64,-2.64,12.62,3.95,23.73,56,17.213,-33.37,49.849,0,71.8,88.8,68,0,29.88,0,951,83.5,0,158,2.7
2025-06-10 18:45:17.574834+00:00,19.83,0.84,12.64,-2.52,12.64,3.85,23.73,56,16.657,-31.853,48.664,0,71.8,88.8,68,0,29.88,0,951,83.5,0,158,2.7
2025-06-10 18:46:26.664987+00:00,19.71,0.84,12.68,-2.86,12.58,4.17,23.72,58,16.556,-36.265,52.459,0,71.8,88.8,68,0,29.88,0,951,83.5,0,158,2.7
2025-06-10 18:47:34.873198+00:00,19.71,0.83,12.79,-1.73,12.77,3.02,23.72,62,16.359,-22.127,38.565,0,71.8,88.8,68,0,29.88,0,951,83.5,0,158,2.7
2025-06-10 18:48:42.673161+00:00,19.88,0.82,12.53,-2.8,12.56,4.11,23.73,52,16.302,-35.084,51.622,0,71.8,88.8,68,0,29.88,0,951,83.5,0,158,2.7
2025-06-10 18:49:58.589873+00:00,19.46,0.82,12.81,-1.61,12.79,2.86,23.71,63,15.957,-20.624,36.579,0,71.8,88.8,68,0,29.88,0,951,83.5,0,158,2.7
2025-06-10 18:51:06.174287+00:00,19.54,0.8,12.81,-1.57,12.81,2.8,23.68,63,15.632,-20.112,35.868,0,71.8,88.8,68,0,29.88,0,951,83.5,0,158,2.7
2025-06-10 18:52:12.839639+00:00,19.54,0.81,12.56,-2.8,12.58,4.29,23.64,53,15.827,-35.168,53.968,0,71.8,88.8,68,0,29.88,0,951,83.5,0,158,2.7
2025-06-10 18:53:23.330901+00:00,19.34,0.83,12.79,-1.67,12.77,2.94,23.63,62,16.052,-21.359,37.544,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 18:54:31.252417+00:00,19.63,0.83,12.66,-2.27,12.66,3.56,23.61,57,16.293,-28.738,45.07,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 18:55:42.094355+00:00,19.09,0.91,12.62,-2.58,12.6,3.97,23.6,56,17.372,-32.56,50.022,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 18:56:52.594972+00:00,18.96,0.85,12.81,-1.37,12.81,2.86,23.57,63,16.116,-17.55,36.637,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 18:58:01.541840+00:00,19.17,0.83,12.81,-1.41,12.81,2.66,23.55,63,15.911,-18.062,34.075,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 18:59:07.852995+00:00,18.22,0.78,12.79,-1.62,12.77,2.74,23.54,62,14.212,-20.72,34.99,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 19:00:15.259844+00:00,19.71,0.61,12.73,-2.64,12.58,3.6,23.53,60,12.023,-33.607,45.288,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 19:01:24.661349+00:00,18.88,0.67,12.83,-1.33,12.81,2.33,23.49,63,12.65,-17.064,29.847,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 19:02:33.318926+00:00,19.21,0.65,12.79,-1.43,12.79,2.41,23.48,62,12.487,-18.29,30.824,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 19:03:42.016296+00:00,18.59,0.68,13.18,0.38,13.18,0.58,23.45,76,12.641,5.008,7.644,0,71.6,89.6,66,0,29.88,0,949,84.2,2.2,202,2.2
2025-06-10 19:04:50.952195+00:00,19.21,0.68,13.22,0.42,13.22,0.58,23.35,78,13.063,5.552,7.668,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:06:01.670612+00:00,18.26,0.69,13.22,0.4,13.18,0.56,23.27,77,12.599,5.288,7.381,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:07:10.387572+00:00,18.72,0.67,13.24,0.38,13.22,0.56,23.2,78,12.542,5.031,7.403,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:08:18.821829+00:00,20.12,0.33,13.16,-0.05,13.24,0.56,23.14,75,6.64,-0.658,7.414,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:09:29.068432+00:00,18.63,0.65,13.24,0.36,13.24,0.56,23.11,78,12.11,4.766,7.414,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:10:38.679887+00:00,18.92,0.61,13.24,0.32,13.24,0.56,23.06,78,11.541,4.237,7.414,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:11:49.080237+00:00,18.59,0.67,12.75,-1.72,12.73,2.9,23.12,61,12.455,-21.93,36.917,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:12:56.249094+00:00,18.09,0.7,12.58,-2.06,12.66,3.08,23.17,54,12.663,-25.915,38.993,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:14:03.673252+00:00,17.47,0.72,12.58,-2.5,12.58,3.5,23.22,54,12.578,-31.45,44.03,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:15:10.629841+00:00,17.8,0.72,12.43,-3.11,12.43,4.11,23.28,48,12.816,-38.657,51.087,0,71.5,90.8,64,0,29.87,0,945,85.1,1.7,158,3.7
2025-06-10 19:16:30.792953+00:00,17.68,0.71,12.47,-2.44,12.53,3.46,23.38,50,12.553,-30.427,43.354,0,71.6,92.2,62,0,29.87,0,940,86.2,0,202,3.7
2025-06-10 19:17:41.772757+00:00,17.47,0.72,12.43,-3.07,12.43,4.09,23.48,49,12.578,-38.16,50.839,0,71.6,92.2,62,0,29.87,0,940,86.2,0,202,3.7
2025-06-10 19:18:53.585144+00:00,17.85,0.72,12.47,-2.48,12.53,3.44,23.56,50,12.852,-30.926,43.103,0,71.6,92.2,62,0,29.87,0,940,86.2,0,202,3.7
2025-06-10 19:20:04.089440+00:00,19.17,0.65,12.51,-2.48,12.53,3.48,23.65,52,12.461,-31.025,43.604,0,71.6,92.2,62,0,29.87,0,940,86.2,0,202,3.7
2025-06-10 19:21:13.916378+00:00,18.67,0.71,12.75,-1.29,12.73,2.33,23.74,60,13.256,-16.448,29.661,0,71.6,92.2,62,0,29.87,0,940,86.2,0,202,3.7
2025-06-10 19:22:21.144004+00:00,17.52,0.74,12.73,-1.25,12.75,2.27,23.78,60,12.965,-15.913,28.942,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:23:28.782431+00:00,18.43,0.71,12.49,-2.68,12.47,3.6,23.86,51,13.085,-33.473,44.892,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:24:40.859061+00:00,16.98,0.7,12.53,-2.16,12.56,3.26,23.92,52,11.886,-27.065,40.946,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:25:51.026487+00:00,18.51,0.63,12.58,-2.04,12.58,3.08,23.97,54,11.661,-25.663,38.746,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:27:02.581476+00:00,18.26,0.69,12.49,-2.28,12.51,3.3,24.04,51,12.599,-28.477,41.283,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:28:12.352721+00:00,18.22,0.71,12.49,-2.4,12.47,3.36,24.12,51,12.936,-29.976,41.899,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:29:24.031292+00:00,18.51,0.65,12.41,-2.66,12.41,3.64,24.18,48,12.032,-33.011,45.172,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:30:36.458483+00:00,18.18,0.66,12.38,-2.6,12.41,3.58,24.23,47,11.999,-32.188,44.428,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:31:44.710885+00:00,18.38,0.65,12.51,-2.04,12.51,3.08,24.26,52,11.947,-25.52,38.531,0,71.1,93.8,58,0,29.87,0,934,87.8,1.7,22,6.3
2025-06-10 19:32:53.355783+00:00,17.93,0.7,12.49,-1.96,12.53,2.98,24.27,51,12.551,-24.48,37.339,0,72.7,96.6,59,0,29.87,0,926,88.9,0,158,3.7
2025-06-10 19:34:01.944128+00:00,18.92,0.6,12.49,-2.14,12.49,3.06,24.26,51,11.352,-26.729,38.219,0,72.7,96.6,59,0,29.87,0,926,88.9,0,158,3.7
